Date,Close/Last,Open,High,Low
01/02/2024,4742.83,4745.2,4754.33,4722.67
01/03/2024,4704.81,4725.07,4729.29,4699.71
01/04/2024,4688.68,4697.42,4726.78,4687.53
01/05/2024,4697.24,4690.57,4721.49,4682.11
01/08/2024,4763.54,4703.7,4764.54,4699.82
01/09/2024,4756.5,4741.93,4765.47,4730.35
01/10/2024,4783.45,4759.94,4790.8,4756.2
01/11/2024,4780.24,4792.13,4798.5,4739.58
01/12/2024,4783.83,4791.18,4802.4,4768.98
01/16/2024,4765.98,4772.35,4782.34,4747.12
01/17/2024,4739.21,4739.13,4744.23,4714.82
01/18/2024,4780.94,4760.1,4785.79,4740.57
01/19/2024,4839.81,4796.28,4842.07,4785.87
01/22/2024,4850.43,4853.42,4868.41,4844.05
01/23/2024,4864.6,4856.8,4866.48,4844.37
01/24/2024,4868.55,4888.56,4903.68,4865.94
01/25/2024,4894.16,4886.66,4898.15,4869.34
01/26/2024,4890.97,4888.91,4906.69,4881.47
01/29/2024,4927.93,4892.95,4929.31,4887.4
01/30/2024,4924.97,4925.89,4931.09,4916.27
01/31/2024,4845.65,4899.19,4906.75,4845.15
02/01/2024,4906.19,4861.11,4906.97,4853.52
02/02/2024,4958.61,4916.06,4975.29,4907.99
02/05/2024,4942.81,4957.19,4957.19,4918.09
02/06/2024,4954.23,4950.16,4957.77,4934.88
02/07/2024,4995.06,4973.05,4999.89,4969.05
02/08/2024,4997.91,4995.16,5000.4,4987.09
02/09/2024,5026.61,5004.17,5030.06,5000.34
02/12/2024,5021.84,5026.83,5048.39,5016.83
02/13/2024,4953.17,4967.94,4971.3,4920.31
02/14/2024,5000.62,4976.44,5002.52,4956.45
02/15/2024,5029.73,5003.14,5032.72,4999.44
02/16/2024,5005.57,5031.13,5038.7,4999.52
02/20/2024,4975.51,4989.32,4993.71,4955.02
02/21/2024,4981.8,4963.03,4983.21,4946
02/22/2024,5087.03,5038.83,5094.39,5038.83
02/23/2024,5088.8,5100.92,5111.06,5081.46
02/26/2024,5069.53,5093,5097.66,5068.91
02/27/2024,5078.18,5074.6,5080.69,5057.29
02/28/2024,5069.76,5067.2,5077.37,5058.35
02/29/2024,5096.27,5085.36,5104.99,5061.89
03/01/2024,5137.08,5098.51,5140.33,5094.16
03/04/2024,5130.95,5130.99,5149.67,5127.18
03/05/2024,5078.65,5110.52,5114.54,5056.82
03/06/2024,5104.76,5108.03,5127.97,5092.22
03/07/2024,5157.36,5132.38,5165.62,5128.21
03/08/2024,5123.69,5164.46,5189.26,5117.5
03/11/2024,5117.94,5111.96,5124.66,5091.14
03/12/2024,5175.27,5134.3,5179.87,5114.48
03/13/2024,5165.31,5173.49,5179.14,5151.88
03/14/2024,5150.48,5175.14,5176.85,5123.3
03/15/2024,5117.09,5123.31,5136.86,5104.35
03/18/2024,5149.42,5154.77,5175.6,5145.47
03/19/2024,5178.51,5139.09,5180.31,5131.59
03/20/2024,5224.62,5181.69,5226.19,5171.55
03/21/2024,5241.53,5253.43,5261.1,5240.66
03/22/2024,5234.18,5242.48,5246.09,5229.87
03/25/2024,5218.19,5219.52,5229.09,5216.09
03/26/2024,5203.58,5228.85,5235.16,5203.42
03/27/2024,5248.49,5226.31,5249.26,5213.92
03/28/2024,5254.35,5248.03,5264.85,5245.82
04/01/2024,5243.77,5257.97,5263.95,5229.2
04/02/2024,5205.81,5204.29,5208.34,5184.05
04/03/2024,5211.49,5194.37,5228.75,5194.37
04/04/2024,5147.21,5244.05,5256.59,5146.06
04/05/2024,5204.34,5158.95,5222.18,5157.21
04/08/2024,5202.39,5211.37,5219.57,5197.35
04/09/2024,5209.91,5217.03,5224.81,5160.78
04/10/2024,5160.64,5167.88,5178.43,5138.7
04/11/2024,5199.06,5172.95,5211.78,5138.77
04/12/2024,5123.41,5171.51,5175.03,5107.94
04/15/2024,5061.82,5149.67,5168.43,5052.47
04/16/2024,5051.41,5064.59,5079.84,5039.83
04/17/2024,5022.21,5068.97,5077.96,5007.25
04/18/2024,5011.12,5031.52,5056.66,5001.89
04/19/2024,4967.23,5005.44,5019.02,4953.56
04/22/2024,5010.6,4987.33,5038.84,4969.4
04/23/2024,5070.55,5028.85,5076.12,5027.96
04/24/2024,5071.63,5084.86,5089.48,5047.02
04/25/2024,5048.42,5019.88,5057.75,4990.58
04/26/2024,5099.96,5084.65,5114.62,5073.14
04/29/2024,5116.17,5114.13,5123.49,5088.65
04/30/2024,5035.69,5103.78,5110.83,5035.31
05/01/2024,5018.39,5029.03,5096.12,5013.45
05/02/2024,5064.2,5049.32,5073.21,5011.05
05/03/2024,5127.79,5122.78,5139.12,5101.22
05/06/2024,5180.74,5142.42,5181,5142.42
05/07/2024,5187.7,5187.2,5200.23,5178.96
05/08/2024,5187.67,5168.98,5191.95,5165.86
05/09/2024,5214.08,5189.03,5215.3,5180.41
05/10/2024,5222.68,5225.49,5239.66,5209.68
05/13/2024,5221.42,5233.08,5237.26,5211.16
05/14/2024,5246.68,5221.1,5250.37,5217.98
05/15/2024,5308.15,5263.26,5311.76,5263.26
05/16/2024,5297.1,5310.07,5325.49,5296.19
